Underlying Ticker,Strike Price,Ask,Bid,Volume,Open Interest
D160318C00067500,67.50,3.40,3.10,10,22
D160318C00070000,70.00,1.35,1.20,108,"1,242"
D160318C00072500,72.50,0.30,0.20,1,"2,206"
D160318C00075000,75.00,0.05,0.00,4,471
